"PH","Turbidity"
"7,240,739,638,887,760","3,556,297,467,154,500"
"","36,655,217,644,695,200"
"6,867,301,321,799,130","38,235,950,398,688,800"
"6,129,637,014,813,740","4,615,886,181,275,900"
"7,917,049,443,177,880","36,594,846,248,885,904"
"6,511,618,075,241,810","4,850,433,707,754,160"
"532,381,558,430,839","28,807,218,458,729,300"
"6,769,572,868,656,790","5,220,540,269,610,250"
"5,877,974,040,440,470","40,322,595,038,243,800"
"9,534,021,716,164,190","27,682,389,284,849,600"
"6,340,027,628,047,590","36,860,013,242,472,800"
"8,661,592,429,959,120","36,704,310,100,631,800"
"5,653,506,134,793,230","5,198,985,503,613,210"
"66,260,121,840,753,000","4,194,313,129,305,390"
"7,793,833,572,993,550","4,172,935,335,264,320"
"7,593,127,650,277,590","33,773,376,381,201,400"
"7,362,736,501,949,780","4,408,513,182,397,490"
"932,030,544,529,501","420,580,973,235,456"
"37,197,916,443,719,200","27,183,977,338,802,800"
"6,655,605,025,818,960","29,516,447,152,886,700"
"9,868,877,880,662,470","3,355,489,790,912,580"
"5,590,614,435,866,250","4,726,845,016,869,530"
"5,554,436,511,156,810","20,959,140,868,029,400"
"4,126,528,715,100,220","44,602,009,837,552,800"
"5,970,035,656,942,920","5,428,674,071,623,720"
"","4,600,927,568,902,860"
"8,369,154,353,699,950","3,629,749,330,548,910"
"6,284,248,242,254,420","3,377,132,288,772,650"
"1,126,782,838,471,400","4,153,347,001,241,880"
"9,298,018,008,096,010","36,813,242,439,844,000"
"7,895,469,245,942,450","4,236,947,299,515,630"
"7,947,485,785,725,740","37,008,538,397,050,496"
"10,026,159,156,427,400","4,182,277,581,713,320"
"648,819,323,961,521","4,592,073,570,820,990"
"5,869,736,755,337,520","4,689,315,047,790,610"
"","36,599,748,117,899,504"
"5,304,142,660,215,900","4,165,723,663,998,690"
"7,533,614,822,992,920","3,462,763,987,423,450"
"407,760,772,456,597","2,758,658,531,189,270"
"","3,873,853,349,593,970"
"70,861,684,008,433,000","34,165,397,533,412"
"6,271,012,171,064,560","5,303,581,360,575,860"
"795,776,834,399,615","34,507,458,924,446,000"
"8,875,642,278,454,440","4,006,991,558,563,300"
"","4,358,298,340,908,280"
"6,613,709,117,641,840","35,397,711,113,739,900"
"7,735,705,021,751,650","21,486,115,361,452,700"
"9,925,041,328,429,100","4,703,803,488,576,940"
"9,002,583,109,651,110","4,904,837,414,733,290"
"5,095,766,464,935,880","4,352,193,469,514,860"
"8,594,677,108,362,670","4,754,072,499,317,670"
"7,083,779,060,507,370","3,887,680,684,530,790"
"7,682,872,498,072,520","3,778,606,787,628,920"
"","3,313,199,021,657,440"
"6,419,772,473,512,510","3,095,233,156,816,070"
"4,443,238,899,143,100","3,268,324,835,835,590"
"6,978,664,262,373,810","4,766,943,236,072,570"
"6,623,613,565,745,120","29,151,659,507,443,900"
"3,664,710,561,719,390","33,161,576,568,421,600"
"4,814,135,620,889,670","5,190,851,804,612,120"
"5,779,673,705,175,210","4,656,377,232,957,470"
"693,781,878,337,901","37,240,895,643,464,896"
"74,367,826,093,455,296","37,276,637,192,074,704"
"4,723,312,573,250,520","3,917,586,695,104,170"
"9,380,658,050,788,320","4,034,349,047,158,280"
"78,101,449,331,968,304","4,033,773,709,343,130"
"9,436,637,164,251,440","4,411,117,439,774,960"
"9,406,325,752,898,280","3,097,277,957,477,160"
"632,125,931,522,299","45,014,572,038,139,800"
"","3,605,154,198,874,470"
"47,053,564,957,747","3,437,450,134,017,180"
"8,896,418,988,301,790","37,009,457,327,147,400"
"6,581,878,201,548,960","4,201,662,864,465,830"
"6,755,145,901,551,620","5,162,729,749,397,480"
"9,445,129,837,868,650","38,751,652,466,165,400"
"9,024,845,037,417,500","39,852,505,057,435,696"
"","27,473,129,992,921,200"
"6,800,119,090,315,870","3,854,939,899,721,070"
"7,174,135,162,807,990","3,939,895,656,598,680"
"7,657,991,236,998,250","2,437,296,287,559,570"
"8,322,986,672,402,290","4,052,135,727,552,660"
"5,934,279,093,094,340","5,217,895,023,653,350"
"980,272,078,232,571","2,764,633,881,427,260"
"6,101,955,230,748,900","35,355,963,295,430,200"
"4,997,770,601,283,680","34,046,329,060,198,400"
"4,815,766,790,717,070","437,522,381,127,182"
"65,480,205,581,308,304","36,118,603,716,661,000"
"13,175,401,724,233,000","41,069,244,900,386,600"
"6,618,010,905,584,660","4,437,695,749,140,040"
"7,788,054,732,605,200","33,687,572,170,739,800"
"51,918,343,271,406,200","3,859,800,939,300,220"
"5,626,339,528,125,950","194,331,877,663,582"
"6,869,638,941,459,090","472,670,245,351,097"
"9,058,628,424,072,680","3,652,134,470,079,700"
"729,188,832,527,326","5,328,712,788,466,370"
"7,275,908,773,683,990","5,062,297,798,479,720"
"6,512,737,123,980,120","4,612,963,629,350,580"
"7,207,886,781,343,900","3,762,741,072,399,460"
"","3,772,919,264,661,590"
"5,324,941,855,611,650","4,427,137,925,692,960"
"7,082,300,649,174,800","3,485,577,388,223,120"
"5,334,183,579,602,800","5,091,357,101,284,410"
"10,761,897,799,889,300","4,661,798,516,052,160"
"6,286,806,948,436,970","41,048,632,751,894,096"
"979,455,869,937,693","29,454,187,377,034,100"
"8,210,443,565,143,710","4,976,055,159,693,940"
"69,417,194,379,777","4,563,183,171,238,150"
"10,356,118,827,208,300","4,201,849,441,297,080"
"79,589,842,918,841,792","4,698,007,916,123,440"
"3,882,631,081,313,790","3,734,001,386,870,360"
"5,671,773,833,095,610","38,331,597,457,829,296"
"10,003,300,539,211,900","47,463,818,590,766,400"
"6,552,847,474,374,970","4,687,986,155,246,700"
"7,628,552,723,143,850","4,182,057,147,919,710"
"4,790,840,540,243,070","32,588,589,450,315,200"
"7,710,959,938,844,840","4,288,946,820,394,490"
"8,291,299,005,968,140","34,247,019,206,523,800"
"6,193,170,101,205,050","34,666,452,881,126,000"
"9,032,660,579,144,680","4,927,218,272,272,610"
"6,139,493,740,895,690","3,260,906,852,708,670"
"7,129,424,730,462,980","3,418,610,802,866,970"
"","4,109,590,274,369,240"
"5,418,503,763,025,520","4,506,539,591,260,470"
"8,075,494,507,899,100","3,682,919,645,453,320"
"","408,170,139,800,861"
"1,004,967,371,845,640","5,133,477,823,277,880"
"5,667,650,646,643,190","3,633,213,756,490,480"
"","38,079,200,615,963,904"
"892,398,060,773,871","4,155,583,189,522,950"
"6,428,866,313,188,390","4,184,783,371,809,040"
"6,960,603,501,688,500","4,978,820,187,753,840"
"5,873,675,845,828,990","5,412,090,884,919,160"
"6,795,469,009,842,260","5,163,088,153,779,060"
"10,041,027,974,912,500","38,075,626,058,306,600"
"","412,478,067,750,866"
"7,296,037,733,901,170","4,168,526,117,629,010"
"","34,975,773,906,550,900"
"5,862,641,232,845,860","5,507,420,939,572,820"
"729,214,180,515,922","4,466,912,564,165,000"
"8,062,805,643,024,470","4,471,842,000,471,330"
"7,821,970,940,156,010","3,532,958,335,149,620"
"11,301,793,996,392,200","3,309,580,397,460,670"
"6,593,764,313,289,440","2,346,578,095,251,960"
"9,161,088,612,884,830","4,888,061,137,333,910"
"","5,922,581,691,937,240"
"4,642,953,052,237,960","3,982,867,293,106,570"
"77,984,536,762,012,096","4,107,267,203,260,770"
"5,564,342,490,630,350","22,859,878,491,983,500"
"788,659,122,732,868","4,589,983,507,854,720"
"7,443,189,014,292,670","26,648,327,961,143,700"
"3,657,123,132,566,730","33,146,297,303,616,900"
"9,597,191,856,878,170","5,145,152,870,605,280"
"69,642,259,425,787,296","39,904,375,721,644,000"
"7,672,909,522,943,800","4,268,227,481,536,430"
"67,370,040,722,130,496","4,063,170,288,841,770"
"","41,357,453,288,543,200"
"5,382,489,039,471,640","4,173,330,283,253,800"
"7,022,952,113,429,300","4,971,907,098,518,460"
"","29,691,360,985,959,300"
"10,026,223,807,942,100","3,736,228,470,573,530"
"5,583,832,998,476,660","3,870,156,920,624,290"
"7,952,929,115,572,240","5,260,014,766,135,650"
"5,500,186,640,904,180","4,178,478,951,476,260"
"754,370,046,605,691","36,305,365,783,974,600"
"6,848,331,559,049,440","4,396,604,556,065,470"
"","37,795,544,920,225,600"
"59,102,517,293,372,000","3,660,922,907,594,770"
"8,716,820,333,772,380","32,051,287,672,092,600"
"6,016,889,135,653,390","4,422,269,232,921,700"
"9,567,822,726,280,440","4,197,919,054,995,080"
"4,296,247,023,728,070","416,332,898,150,423"
"3,551,579,176,967,150","3,965,993,969,608,620"
"852,966,934,763,357","37,760,408,374,335,296"
"8,065,339,036,104,210","375,639,170,748,219"
"9,158,445,163,262,000","4,525,236,730,798,250"
"8,848,586,282,929,040","4,014,681,857,976,110"
"9,495,456,381,941,780","4,168,541,279,325,780"
"8,052,893,916,459,470","36,348,445,415,750,200"
"2,798,549,098,862,770","36,632,522,218,404,496"
"6,425,873,866,275,690","37,319,365,027,538,704"
"7,757,269,665,668,280","4,165,432,285,611,470"
"7,748,654,706,492,540","251,181,049,287,789"
"5,117,390,302,624,230","39,371,884,418,353,296"
"7,481,535,362,094,440","4,262,065,436,945,660"
"5,374,222,584,708,860","36,427,784,384,129,104"
"7,063,646,975,622,250","33,958,662,401,655,800"
"687,645,104,288,265","454,534,092,739,007"
"4,812,433,652,167,460","30,209,959,003,414,800"
"499,353,073,414,005","3,153,809,336,970,370"
"478,886,106,249,815","28,968,521,864,425,500"
"4,037,287,739,350,780","3,045,048,569,942,410"
"6,505,872,509,363,580","4,497,528,596,739,850"
"677,977,396,685,122","27,291,045,234,305,200"
"6,952,511,673,596,020","41,054,954,853,125,600"
"5,628,406,919,430,690","5,050,683,115,260,010"
"5,966,000,488,790,350","4,177,139,265,761,120"
"63,194,315,449,597,296","26,531,266,883,388,000"
"8,027,247,869,950,060","3,480,640,836,854,310"
"8,882,684,452,292,400","38,279,208,670,614,096"
"5,991,283,475,366,890","4,840,562,301,475,420"
"10,272,444,272,154,300","3,179,884,727,399,670"
"","472,812,398,548,281"
"61,051,401,350,435,504","31,030,898,440,692,800"
"9,443,358,884,146,120","34,866,464,085,132,000"
"6,887,414,371,129,530","4,564,188,355,184,360"
"6,512,900,833,266,170","4,404,040,364,778,450"
"5,772,718,094,851,820","6,494,249,467,472,990"
"4,912,557,262,009,440","4,897,372,508,450,060"
"973,956,194,896,991","2,568,079,876,725,230"
"55,419,790,193,089,200","36,729,759,831,771,296"
"","36,017,354,805,033,000"
"","34,517,400,465,867,400"
"6,448,931,033,409,070","36,221,955,223,639,000"
"5,477,912,294,546,050","3,774,256,121,104,980"
"8,544,708,661,673,040","23,181,524,802,481,900"
"737,859,701,625,866","3,215,219,463,201,250"
"6,664,003,050,003,350","2,227,727,884,059,550"
"6,775,582,812,405,080","4,333,636,278,302,860"
"8,736,371,210,915,210","3,802,116,117,316,710"
"7,146,976,296,126,540","4,025,762,215,893,220"
"","56,522,221,130,790,096"
"5,040,331,692,395,890","36,033,256,152,073,504"
"","4,003,819,011,511,160"
"7,745,499,128,179,050","40,433,347,814,756,000"
"6,259,651,602,740,050","4,213,405,262,223,430"
"8,596,391,179,552,710","3,519,884,366,217,540"
"5,767,349,596,865,660","3,896,090,487,367,940"
"70,889,406,421,502,200","5,661,104,287,047,440"
"8,029,181,612,754,340","4,388,551,011,831,940"
"","4,120,931,424,045,970"
"472,578,556,493,077","31,563,314,195,864,600"
"8,195,765,359,895,590","3,218,709,224,251,610"
"64,437,536,684,450,496","44,986,849,314,286,096"
"7,039,094,321,089,830","4,366,031,350,632,880"
"","4,407,566,169,075,390"
"","5,110,414,148,991,790"
"6,945,224,092,344,810","4,823,082,013,933,820"
"5,742,110,407,437,110","3,323,069,563,743,190"
"5,596,627,849,736,460","52,351,111,206,857,104"
"7,350,378,986,684,690","36,639,221,839,230,096"
"6,262,798,867,453,870","40,125,175,583,490,000"
"9,927,023,723,224,520","4,051,733,473,083,120"
"5,381,407,519,092,970","4,364,066,934,823,450"
"4,961,352,728,384,600","3,902,837,833,888,620"
"64,570,975,247,378,896","26,373,648,851,846,800"
"653,936,951,037,342","4,527,364,378,116,460"
"6,252,410,004,649,730","27,229,081,605,380,500"
"79,673,448,231,111,104","4,069,358,772,118,030"
"","4,825,792,283,459,240"
"760,952,119,012,474","3,145,842,902,755,230"
"6,887,863,943,894,860","5,454,487,652,366,450"
"9,879,071,257,570,800","4,218,831,154,474,730"
"7,638,761,770,450,090","4,496,626,599,284,410"
"6,961,891,686,003,920","34,467,284,598,639,200"
"8,060,609,623,630,810","36,009,056,695,460,300"
"7,240,271,791,102,990","3,832,597,166,985,500"
"7,486,779,708,528,250","5,048,833,995,025,390"
"8,410,460,642,866,250","2,977,359,946,090,720"
"6,143,921,454,143,690","34,762,133,035,925,000"
"6,096,179,889,884,810","5,142,471,131,650,310"
"63,848,240,094,579,000","41,449,985,178,161,400"
"946,266,601,699,853","2,850,183,765,643,180"
"7,868,147,086,463,660","4,315,898,406,460,020"
"5,873,157,137,066,780","5,120,887,964,619,860"
"","514,411,422,012,617"
"6,529,304,448,100,370","3,361,088,406,841,670"
"5,152,203,721,876,960","4,689,842,817,950,890"
"7,858,662,778,844,820","342,247,052,094,365"
"7,704,410,252,313,840","30,313,643,685,904,200"
"6,728,004,385,653,380","4,410,697,353,226,660"
"10,464,502,477,260,300","4,956,358,408,285,040"
"9,112,786,250,314,780","4,567,087,633,865,010"
"807,980,835,815,327","36,110,574,411,161,200"
"7,078,659,419,377,960","36,966,401,407,241,200"
"","4,093,097,748,782,280"
"8,043,889,299,098,860","31,599,493,699,500,500"
"7,040,244,978,430,550","39,934,097,636,858,200"
"5,483,974,108,801,340","4,063,613,621,049,690"
"8,534,406,879,569,950","25,447,337,011,519,200"
"726,659,453,474,728","3,357,439,470,656,980"
"6,256,651,147,926,910","4,181,050,752,789,530"
"7,240,351,005,742,470","3,782,971,899,999,770"
"8,692,115,322,047,210","2,283,475,159,435,160"
"8,639,540,977,998,700","4,192,932,215,458,880"
"7,179,864,148,534,100","38,784,473,137,633,200"
"7,163,999,222,574,380","33,543,222,667,273,600"
"8,926,113,143,092,780","2,752,134,121,425,600"
"635,311,030,182,946","2,856,175,486,931,270"
"6,681,553,567,542,740","29,567,480,753,018,700"
"544,532,598,066,911","3,946,989,523,134,860"
"7,539,881,892,843,840","4,531,593,669,500,010"
"","4,482,459,763,675,930"
"4,370,476,580,258,790","464,938,203,413,864"
"10,316,400,384,553,100","34,073,494,284,238,300"
"6,599,593,818,953,800","4,702,310,752,770,490"
"4,197,583,589,415,030","5,206,480,177,207,680"
"7,920,794,564,373,230","33,743,265,226,271,900"
"6,330,732,765,446,400","39,400,004,233,930,600"
"","5,128,346,524,187,510"
"776,414,261,000,218","4,105,178,268,056,130"
"8,237,142,633,897,010","493,910,944,137,509"
"56,792,341,150,880,800","23,395,727,358,561,800"
"7,417,570,368,300,500","4,671,557,881,112,390"
"4,775,983,438,506,520","4,382,161,618,971,920"
"7,865,094,970,430,800","4,795,025,554,920,150"
"5,903,465,715,091,590","45,870,867,193,147,000"
"7,705,711,006,313,970","38,619,560,774,085,000"
"7,815,121,777,828,150","3,096,163,272,201,650"
"6,139,743,031,734,370","3,841,221,573,687,870"
"5,041,405,027,891,030","4,543,685,761,333,920"
"8,675,192,691,679,180","4,978,575,359,632,430"
"76,893,580,036,123,696","4,978,556,094,767,620"
"857,012,912,066,282","460,440,456,098,565"
"56,717,623,259,348,000","32,686,935,067,638,100"
"6,624,806,427,804,380","28,409,107,556,338,800"
"6,541,007,699,013,840","2,355,934,229,271,090"
"","6,739"
"9,241,197,563,363,230","5,265,728,857,736,180"
"","4,514,981,623,747,220"
"6,340,809,022,225,870","54,586,096,902,322,200"
"5,980,357,226,763,910","424,724,014,869,094"
"7,605,978,830,252,500","3,242,849,929,074,100"
"6,427,512,442,841,490","6,032,994,877,321,900"
"","3,888,235,227,107,230"
"6,109,073,311,509,660","4,881,101,138,250,650"
"5,842,933,080,915,620","4,143,224,936,339,830"
"5,367,546,490,440,580","4,267,189,590,792,980"
"5,345,887,146,753,810","29,503,609,427,959,400"
"5,386,307,352,101,620","36,625,634,650,940,496"
"9,919,478,425,557,030","4,117,488,039,506,420"
"","4,328,026,356,733,110"
"7,121,458,434,633,310","37,746,005,260,862,600"
"9,418,296,121,790,150","4,604,633,153,598,900"
"74,571,647,584,143,104","4,106,543,051,529,010"
"5,272,227,560,197,710","5,068,556,188,550,550"
"7,291,957,039,597,600","4,237,643,894,270,570"
"7,803,833,220,697,700","29,073,872,665,012,900"
"6,844,350,911,056,740","28,770,628,132,019,100"
"5,608,745,231,813,570","4,644,211,644,910,140"
"57,011,546,449,116,096","3,403,136,416,178,920"
"5,412,762,497,595,830","4,091,205,592,856,330"
"","39,121,483,506,760,704"
"5,018,132,384,268,230","4,286,478,967,398,260"
"4,552,238,410,542,720","3,932,804,333,605,560"
"","4,613,578,721,749,670"
"7,025,305,941,689,350","5,989,542,790,855,560"
"5,770,620,969,105,650","4,240,821,477,653,530"
"8,437,875,983,021,620","3,815,468,994,490,740"
"590,707,826,866,672","42,964,799,087,266,704"
"68,983,413,301,771,600","5,371,284,155,719,340"
"10,252,734,368,477,700","32,903,724,922,745,600"
"8,206,499,937,809,190","4,225,120,930,188,110"
"7,286,167,388,039,810","4,686,019,915,871,020"
"8,809,296,431,775,960","3,879,053,740,492,370"
"6,641,500,687,280,970","4,694,311,215,541,640"
"6,145,148,360,574,150","46,008,857,549,446,896"
"5,906,441,764,582,050","4,807,495,941,814,580"
"5,389,845,930,491,160","35,776,749,209,970,000"
"5,006,562,979,263,780","36,652,056,124,986,704"
"6,503,638,200,451,560","4,963,184,434,039,480"
"9,606,858,896,121,900","4,405,351,951,779,620"
"8,742,229,881,827,970","28,423,931,855,932,000"
"8,394,397,411,757,220","28,339,014,301,371,400"
"","32,577,441,805,128,500"
"3,841,205,038,045,160","36,356,345,427,002,096"
"4,301,373,467,127,340","30,676,266,990,890,100"
"9,895,889,212,950,530","38,134,286,591,434,096"
"43,194,406,725,876,800","32,419,721,011,866,400"
"8,313,773,604,321,760","4,290,071,516,364,870"
"","23,800,842,267,127,200"
"341,035,967,073,924","3,721,765,768,518,890"
"7,510,943,342,127,440","33,424,090,536,108,300"
"6,978,290,867,613,590","4,931,878,078,886,140"
"","4,380,978,304,316,720"
"74,607,272,201,980,704","3,949,014,617,743,270"
"","4,543,581,169,567,960"
"7,220,165,553,446,540","4,398,685,036,000,150"
"8,790,851,188,948,050","34,802,717,553,207,800"
"","41,486,113,170,854,704"
"","5,776,611,019,642,230"
"9,049,166,054,297,840","28,140,006,830,459,000"
"9,515,140,615,244,420","38,128,876,614,746,600"
"6,145,242,939,675,400","4,090,939,919,526,500"
"7,494,212,046,966,070","5,492,704,955,036,240"
"7,091,885,816,966,660","5,116,406,584,527,920"
"6,624,572,527,652,790","4,333,720,849,150,260"
"6,032,188,902,899,920","34,238,316,212,571,900"
"6,344,095,425,001,860","38,434,840,157,795,400"
"","4,103,438,960,001,440"
"7,459,144,859,485,700","3,841,052,037,778,380"
"6,361,666,802,587,900","36,817,651,139,312,496"
"9,011,588,753,600,260","2,897,292,531,479,610"
"7,466,213,132,452,250","20,818,456,568,399,500"
"57,398,163,326,022","27,225,712,077,897,900"
"7,785,106,673,059,810","4,904,613,043,963,690"
"7,138,586,781,331,620","3,272,429,761,063,920"
"8,805,177,745,264,920","517,620,506,921,009"
"8,003,031,485,090,920","31,375,512,055,381,300"
"7,157,337,864,026,230","5,183,622,114,589,740"
"642,736,514,447,551","3,568,823,153,057,520"
"6,124,672,270,969,830","36,310,067,093,818,304"
"845,790,103,691,031","49,142,760,948,250,704"
